frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,frame.len
"13547","Jul  4, 2024 10:45:14.093230921 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13548","Jul  4, 2024 10:45:14.093648924 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13549","Jul  4, 2024 10:45:14.093673324 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13550","Jul  4, 2024 10:45:14.099220165 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13551","Jul  4, 2024 10:45:14.099220765 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13552","Jul  4, 2024 10:45:14.099220865 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13553","Jul  4, 2024 10:45:14.099312566 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13554","Jul  4, 2024 10:45:14.099335766 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13555","Jul  4, 2024 10:45:14.099623068 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13556","Jul  4, 2024 10:45:14.105047408 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13557","Jul  4, 2024 10:45:14.105047708 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13558","Jul  4, 2024 10:45:14.105047808 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13559","Jul  4, 2024 10:45:14.105085309 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13560","Jul  4, 2024 10:45:14.105103709 CEST","172.24.204.146","10.22.255.154","6","1500","1514"
"13561","Jul  4, 2024 10:45:14.105115209 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13562","Jul  4, 2024 10:45:14.111173454 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13563","Jul  4, 2024 10:45:14.111174254 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13564","Jul  4, 2024 10:45:14.111174354 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13565","Jul  4, 2024 10:45:14.111229554 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13566","Jul  4, 2024 10:45:14.111253054 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13567","Jul  4, 2024 10:45:14.111267254 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13568","Jul  4, 2024 10:45:14.111267354 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13569","Jul  4, 2024 10:45:14.111734358 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13570","Jul  4, 2024 10:45:14.111753858 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13571","Jul  4, 2024 10:45:14.112165961 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13572","Jul  4, 2024 10:45:14.112180961 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13573","Jul  4, 2024 10:45:14.117182798 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13574","Jul  4, 2024 10:45:14.117183398 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13575","Jul  4, 2024 10:45:14.117183498 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13576","Jul  4, 2024 10:45:14.117183598 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13577","Jul  4, 2024 10:45:14.117240299 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13578","Jul  4, 2024 10:45:14.117266799 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13579","Jul  4, 2024 10:45:14.117282699 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13580","Jul  4, 2024 10:45:14.117714002 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13581","Jul  4, 2024 10:45:14.117733402 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13582","Jul  4, 2024 10:45:14.118330007 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13583","Jul  4, 2024 10:45:14.123074042 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13584","Jul  4, 2024 10:45:14.123074642 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13585","Jul  4, 2024 10:45:14.123074742 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13586","Jul  4, 2024 10:45:14.123130442 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13587","Jul  4, 2024 10:45:14.123153743 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
